order_item_id,order_id,product_id,quantity,unit_price,unit_cost,sales_amount,cost_amount,profit_amount
900001,538565,20294,3,10004.84,5224.65,30014.52,15673.95,14340.57
900002,544253,20942,1,5799.98,4085.06,5799.98,4085.06,1714.92
900003,511943,20227,1,5691.48,3254.72,5691.48,3254.72,2436.76
900004,514966,20758,3,9578.39,4423.5,28735.17,13270.5,15464.67
900005,539199,20614,1,1651.22,1096.8,1651.22,1096.8,554.42
900006,500927,20859,1,14439.25,7342.62,14439.25,7342.62,7096.63
900007,506900,20971,2,15424.0,7893.57,30848.0,15787.14,15060.86
900008,545405,20002,4,14851.52,6782.55,59406.08,27130.2,32275.88
900009,500481,20366,4,10647.23,5834.24,42588.92,23336.96,19251.96
900010,523602,20670,1,9048.47,4870.92,9048.47,4870.92,4177.55
900011,507906,20337,1,6311.82,3218.04,6311.82,3218.04,3093.78
900012,531804,20340,4,5189.45,3326.29,20757.8,13305.16,7452.64
900013,516556,20962,2,4184.69,2382.02,8369.38,4764.04,3605.34
900014,519108,20936,4,10822.62,4954.3,43290.48,19817.2,23473.28
900015,534393,20960,3,1780.58,1506.21,5341.74,4518.63,823.11
900016,520782,20868,3,7660.98,6118.7,22982.94,18356.1,4626.84
900017,520847,20264,4,2173.45,1667.1,8693.8,6668.4,2025.4
900018,508903,20661,4,153.07,114.87,612.28,459.48,152.8
900019,525457,20533,1,391.45,208.08,391.45,208.08,183.37
900020,513887,20277,3,9633.43,6484.8,28900.29,19454.4,9445.89
900021,530327,20346,4,9779.3,5484.27,39117.2,21937.08,17180.12
900022,503471,20098,2,10448.04,5118.69,20896.08,10237.38,10658.7
900023,541331,20682,1,12959.2,6769.57,12959.2,6769.57,6189.63
900024,518622,20289,3,11496.74,6841.42,34490.22,20524.26,13965.96
900025,527987,20818,2,1516.86,1189.8,3033.72,2379.6,654.12
900026,518233,20133,3,3755.4,1957.26,11266.2,5871.78,5394.42
900027,524263,20541,4,8590.37,4146.6,34361.48,16586.4,17775.08
900028,540279,20973,2,3001.84,1648.6,6003.68,3297.2,2706.48
900029,509490,20246,3,6152.98,4886.0,18458.94,14658.0,3800.94
900030,540173,20867,4,6592.44,3944.8,26369.76,15779.2,10590.56
900031,505517,20903,1,5905.75,3892.39,5905.75,3892.39,2013.36
900032,517506,20354,2,12017.77,5708.36,24035.54,11416.72,12618.82
900033,514201,20046,2,6016.72,3128.24,12033.44,6256.48,5776.96
900034,532320,20599,1,4100.7,2914.55,4100.7,2914.55,1186.15
900035,500191,20456,4,4820.66,3492.93,19282.64,13971.72,5310.92
900036,534241,20689,4,1436.6,1091.85,5746.4,4367.4,1379.0
900037,537363,20589,4,12221.34,7484.13,48885.36,29936.52,18948.84
900038,501800,20287,3,2138.02,1619.96,6414.06,4859.88,1554.18
900039,549730,20289,3,11496.74,6841.42,34490.22,20524.26,13965.96
900040,514075,20465,4,2372.44,1571.66,9489.76,6286.64,3203.12
900041,545341,20311,2,4101.79,2812.69,8203.58,5625.38,2578.2
900042,535098,20917,1,9832.36,7603.44,9832.36,7603.44,2228.92
900043,518324,20760,2,8109.98,5665.21,16219.96,11330.42,4889.54
900044,505327,20317,4,7312.85,5917.69,29251.4,23670.76,5580.64
900045,546829,20949,2,2781.32,1559.72,5562.64,3119.44,2443.2
900046,506432,20108,4,4291.29,2455.11,17165.16,9820.44,7344.72
900047,534294,20552,4,3019.5,1904.59,12078.0,7618.36,4459.64
900048,507564,20212,3,13364.45,7497.38,40093.35,22492.14,17601.21
900049,541223,20169,3,3481.95,2553.78,10445.85,7661.34,2784.51
900050,541009,20413,4,9184.24,6089.89,36736.96,24359.56,12377.4
900051,500142,20430,2,5442.96,3571.03,10885.92,7142.06,3743.86
900052,510145,20754,3,12046.28,6860.56,36138.84,20581.68,15557.16
900053,547246,20161,1,7300.75,3688.26,7300.75,3688.26,3612.49
900054,513710,20362,2,11810.84,7224.2,23621.68,14448.4,9173.28
900055,545219,20974,4,1576.14,1037.51,6304.56,4150.04,2154.52
900056,527463,20851,2,11653.98,6474.55,23307.96,12949.1,10358.86
900057,547128,20114,4,2777.33,1322.34,11109.32,5289.36,5819.96
900058,527650,20862,3,10260.4,6602.52,30781.2,19807.56,10973.64
900059,528562,20732,1,7160.04,5708.9,7160.04,5708.9,1451.14
900060,507252,20791,1,6062.43,3499.3,6062.43,3499.3,2563.13
900061,518145,20541,3,8590.37,4146.6,25771.11,12439.8,13331.31
900062,504311,20989,4,9567.74,6341.26,38270.96,25365.04,12905.92
900063,547615,20019,1,3172.74,1839.19,3172.74,1839.19,1333.55
900064,503947,20857,3,13308.89,7274.28,39926.67,21822.84,18103.83
900065,501084,20920,4,2303.82,1409.51,9215.28,5638.04,3577.24
900066,523913,20825,3,9968.6,6389.26,29905.8,19167.78,10738.02
900067,503804,20130,4,5182.54,2450.47,20730.16,9801.88,10928.28
900068,507537,20745,3,8653.62,4440.77,25960.86,13322.31,12638.55
900069,540227,20680,1,348.48,201.5,348.48,201.5,146.98
900070,546396,20309,2,6436.09,5025.91,12872.18,10051.82,2820.36
900071,535478,20107,1,2728.54,2152.59,2728.54,2152.59,575.95
900072,514527,20747,3,11570.56,7790.92,34711.68,23372.76,11338.92
900073,530876,20737,4,10190.09,7965.3,40760.36,31861.2,8899.16
900074,549239,20492,3,8654.61,4309.21,25963.83,12927.63,13036.2
900075,511824,20615,1,8159.16,3829.27,8159.16,3829.27,4329.89
900076,507464,20884,3,1488.91,1278.81,4466.73,3836.43,630.3
900077,548409,20898,4,6543.08,3055.67,26172.32,12222.68,13949.64
900078,523807,20820,4,4732.26,3131.54,18929.04,12526.16,6402.88
900079,501934,20759,1,5142.71,2618.52,5142.71,2618.52,2524.19
900080,505596,20935,4,5476.59,4334.2,21906.36,17336.8,4569.56
900081,542640,20732,1,7160.04,5708.9,7160.04,5708.9,1451.14
900082,508867,20908,4,6983.69,3690.69,27934.76,14762.76,13172.0
900083,521212,20933,4,1646.54,918.9,6586.16,3675.6,2910.56
900084,527261,20250,3,2828.98,2387.2,8486.94,7161.6,1325.34
900085,536378,20255,4,13601.83,6468.71,54407.32,25874.84,28532.48
900086,514134,20675,4,4185.04,2127.66,16740.16,8510.64,8229.52
900087,540284,20223,1,9043.74,5375.43,9043.74,5375.43,3668.31
900088,509713,20784,2,824.0,595.01,1648.0,1190.02,457.98
900089,505950,20384,3,9101.78,6236.65,27305.34,18709.95,8595.39
900090,511466,20704,2,14079.8,6673.91,28159.6,13347.82,14811.78
900091,517811,20901,4,2329.81,1250.45,9319.24,5001.8,4317.44
900092,541193,20195,4,10743.93,6322.57,42975.72,25290.28,17685.44
900093,535244,20213,3,6601.88,5404.46,19805.64,16213.38,3592.26
900094,507572,20928,2,3598.88,2613.95,7197.76,5227.9,1969.86
