product_id,product_name,category,brand,unit_cost,unit_price
20001,Essential Phone 0000,Accessories,StyleHub,3744.58,6009.19
20002,Smart Headphones 0001,Grocery,HomePro,6782.55,14851.52
20003,Classic Backpack 0002,Home & Kitchen,StyleHub,7178.03,9544.22
20004,Essential Keyboard 0003,Home & Kitchen,StyleHub,996.32,2148.18
20005,Advanced Watch 0004,Fashion,FitLife,590.03,1043.84
20006,Pro T-Shirt 0005,Beauty,Nova,1061.34,1958.91
20007,Essential Coffee Maker 0006,Fashion,StyleHub,5404.02,9469.81
20008,Advanced Phone 0007,Electronics,HomePro,4309.35,9402.95
20009,Smart Novel 0008,Beauty,PrimeTech,5929.34,7094.53
20010,Premium Phone 0009,Beauty,HomePro,4787.54,7569.04
20011,Premium Phone 0010,Fashion,FitLife,857.49,1774.14
20012,Pro Shoes 0011,Grocery,DailyMart,2135.29,2830.21
20013,Advanced Phone 0012,Fashion,UrbanX,2719.26,4753.47
20014,Classic Novel 0013,Accessories,Nova,5690.8,9672.97
20015,Classic Keyboard 0014,Electronics,PrimeTech,4815.13,9619.67
20016,Advanced Skincare Kit 0015,Sports,PrimeTech,7579.91,16025.18
20017,Pro Skincare Kit 0016,Accessories,Nova,1249.63,1776.69
20018,Advanced Keyboard 0017,Fashion,HomePro,7515.15,14111.96
20019,Premium Keyboard 0018,Books,StyleHub,1839.19,3172.74
20020,Premium T-Shirt 0019,Books,PureCare,2813.39,5193.31
20021,Smart Novel 0020,Fashion,FitLife,373.18,507.67
20022,Essential Backpack 0021,Books,HomePro,2442.57,3508.28
20023,Advanced Blender 0022,Books,FitLife,1677.68,2897.92
20024,Classic Camera 0023,Beauty,PrimeTech,1816.28,2094.34
20025,Smart Phone 0024,Beauty,UrbanX,4620.41,8789.16
20026,Advanced Monitor 0025,Beauty,StyleHub,6268.22,8271.84
20027,Essential T-Shirt 0026,Home & Kitchen,HomePro,5985.16,12735.62
20028,Pro Coffee Maker 0027,Beauty,PrimeTech,6650.27,13657.24
20029,Advanced Shoes 0028,Fashion,DailyMart,5877.55,10606.15
20030,Classic Phone 0029,Fashion,StyleHub,7814.39,16297.77
20031,Essential Phone 0030,Home & Kitchen,StyleHub,245.94,537.77
20032,Essential Monitor 0031,Sports,FitLife,7904.38,15521.87
20033,Classic Skincare Kit 0032,Electronics,PrimeTech,3337.65,6034.35
20034,Advanced Keyboard 0033,Electronics,StyleHub,3874.65,6283.7
20035,Classic T-Shirt 0034,Home & Kitchen,DailyMart,4661.07,9341.9
20036,Premium Shoes 0035,Sports,StyleHub,167.33,316.2
20037,Smart Watch 0036,Fashion,PureCare,1535.51,2527.87
20038,Essential Monitor 0037,Beauty,Nova,3623.17,6068.94
20039,Premium Shoes 0038,Home & Kitchen,FitLife,6179.19,8591.44
20040,Essential Blender 0039,Beauty,FitLife,6973.7,13794.12
20041,Smart Camera 0040,Beauty,DailyMart,1267.1,2625.74
20042,Pro Skincare Kit 0041,Fashion,DailyMart,2177.59,2541.92
20043,Essential Coffee Maker 0042,Electronics,UrbanX,4898.23,6208.48
20044,Essential Phone 0043,Sports,HomePro,2951.77,6466.73
20045,Classic Camera 0044,Home & Kitchen,DailyMart,2453.51,3280.37
20046,Pro Coffee Maker 0045,Beauty,,3128.24,6016.72
20047,Classic Backpack 0046,Books,Nova,5642.61,9337.87
20048,Advanced Keyboard 0047,Electronics,StyleHub,1668.94,2832.89
20049,Classic Coffee Maker 0048,Books,PrimeTech,589.06,744.45
20050,Smart Shoes 0049,Fashion,FitLife,127.31,164.83
20051,Premium Phone 0050,Sports,StyleHub,4260.69,7485.21
20052,Advanced Phone 0051,Electronics,PrimeTech,2075.14,3209.23
20053,Essential Phone 0052,Beauty,HomePro,4536.95,9016.44
20054,Smart Backpack 0053,Beauty,DailyMart,7059.83,15323.9
20055,Smart Phone 0054,Home & Kitchen,PrimeTech,2419.9,4846.9
20056,Advanced Watch 0055,Sports,UrbanX,1550.21,2443.46
20057,Classic Keyboard 0056,Books,Nova,112.44,186.23
20058,Advanced Backpack 0057,Beauty,UrbanX,7852.69,10322.54
20059,Classic Camera 0058,Books,Nova,4182.93,7865.9
20060,Smart Phone 0059,Fashion,Nova,6436.55,10425.45
20061,Advanced Novel 0060,Grocery,StyleHub,6878.99,14103.67
20062,Essential Backpack 0061,Fashion,StyleHub,7962.19,14607.68
20063,Pro Phone 0062,Grocery,PureCare,6891.1,9158.76
20064,Premium Coffee Maker 0063,Beauty,StyleHub,2423.06,3832.15
20065,Smart Keyboard 0064,Sports,UrbanX,4558.5,8482.44
20066,Smart Novel 0065,Electronics,FitLife,7705.61,15802.81
20067,Pro Keyboard 0066,Electronics,HomePro,5103.69,7749.17
20068,Advanced Watch 0067,Accessories,UrbanX,6175.6,11443.2
20069,Advanced Backpack 0068,Electronics,FitLife,7262.63,9675.8
20070,Advanced Camera 0069,Sports,FitLife,4947.86,10390.25
